rodada: 2026-06-22_21-30-28

+----------------------+-----------+-------------+------------------------+-------------------------+--------------------------+------------------+--------------+----------------+
| parametro            | S0        | S1          | S2                     | S3                      | S4                       | S5               | S6           | S7             |
+----------------------+-----------+-------------+------------------------+-------------------------+--------------------------+------------------+--------------+----------------+
| nome                 | baseline  | selic_baixa | renda_basica_universal | renda_basica_focalizada | selic_baixa+renda_basica | crescimento_alto | sem_sucessao | sucessao_forte |
| rodado               | sim       | sim         | sim                    | sim                     | sim                      | sim              | sim          | sim            |
| n_familias           | 1000      | 1000        | 1000                   | 1000                    | 1000                     | 1000             | 1000         | 1000           |
| n_runs               | 30        | 30          | 30                     | 30                      | 30                       | 30               | 30           | 30             |
| g_%aa                | 0.0       | 0.0         | 0.0                    | 0.0                     | 0.0                      | 2.0              | 0.0          | 0.0            |
| retorno_faixa1_%     | 1.0       | 1.0         | 1.0                    | 1.0                     | 1.0                      | 1.0              | 1.0          | 1.0            |
| retorno_faixa2_%     | 3.0       | 3.0         | 3.0                    | 3.0                     | 3.0                      | 3.0              | 3.0          | 3.0            |
| retorno_faixa3_%     | 5.0       | 3.5         | 5.0                    | 5.0                     | 3.5                      | 5.0              | 5.0          | 5.0            |
| retorno_faixa4_%     | 5.0       | 3.5         | 5.0                    | 5.0                     | 3.5                      | 5.0              | 5.0          | 5.0            |
| dp_retorno_faixa1_%  | 1.0       | 1.0         | 1.0                    | 1.0                     | 1.0                      | 1.0              | 1.0          | 1.0            |
| dp_retorno_faixa2_%  | 1.5       | 1.5         | 1.5                    | 1.5                     | 1.5                      | 1.5              | 1.5          | 1.5            |
| dp_retorno_faixa3_%  | 2.5       | 2.5         | 2.5                    | 2.5                     | 2.5                      | 2.5              | 2.5          | 2.5            |
| dp_retorno_faixa4_%  | 2.5       | 2.5         | 2.5                    | 2.5                     | 2.5                      | 2.5              | 2.5          | 2.5            |
| transferencia_R$_mes | 0.0       | 0.0         | 600.0                  | 600.0                   | 600.0                    | 0.0              | 0.0          | 0.0            |
| limiar_R$_mes        | universal | universal   | universal              | 218.0                   | 218.0                    | universal        | universal    | universal      |
| usa_renda_total      | False     | False       | False                  | True                    | True                     | False            | False        | False          |
| alpha_seguro         | 0.7       | 0.7         | 0.7                    | 0.7                     | 0.7                      | 0.7              | 0.7          | 0.7            |
| max_choques_edu      | 3         | 3           | 3                      | 3                       | 3                        | 3                | 3            | 3              |
| p_sucessao_%         | 3.0       | 3.0         | 3.0                    | 3.0                     | 3.0                      | 3.0              | 0.0          | 5.0            |
| banda_histerese_%    | 10        | 10          | 10                     | 10                      | 10                       | 10               | 10           | 10             |
+----------------------+-----------+-------------+------------------------+-------------------------+--------------------------+------------------+--------------+----------------+
